"SVC_GRP_NR","SVC_GRP_SUF_NR","NVP_BID_NR","TRG_PSE_SVC_ID","SVC_FEA_TYP_CD","SVC_FEA_TYP_DSC_TE","PKG_CHA_TYP_CD","PKG_CHA_TYP_DSC_TE","SVC_TYP_CD","SVC_TYP_CD_DSC_TE","CPE_CRR_NR","CRR_ABR_NA","CPE_CRR_FUL_NA","BID_CPE_DTL_CD","CPE_PDC_NR","CPE_PDC_ABR_DSC_TE","CPE_PDC_DSC_TE","CCY_CD","CCY_NA","BID_UPS_PJT_WVL_QY","BID_CUS_PRR_WVL_QY","UPS_PRJ_GRS_RPP_A","BID_MRG_CPP_A","SVC_GRP_CUS_NCV_A","SVC_GRP_PSE_NCV_PR","CPE_SVC_RPP_A","BID_FA_CPP_A","SVC_EFF_DT","SVC_END_DT","NVP_ETM_CMC_WK_PR","CUS_PRR_NCV_PR","AVG_PKG_WGT_QY","CPE_GRS_RPP_A","CPE_NET_RPP_A","LOS_PKG_AVG_QY","PDC_AVG_ZN_QY","RA_TRI_DER_AVG_QY","RA_TRI_AVG_QY","SMT_PKG_AVG_SMP_QY","SMT_TOT_AVG_QY","SMT_WGT_AVG_QY","WGT_MS_UNT_TYP_CD","PCN_SUB_MTH_TYP_CD","NVP_BID_FRT_GRR_A","MVM_DRC_CD","CU_SMP_AVG_WGT_QY","CU_SMP_AVG_NR","CALC_CUBE_PACKAGE_DENSITY"
"ACCRVHN","00","I930000891","IWXSPKGALL","ALL","                    ","PKG","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.6706,0,101.32,15.682565,0,0,0,19.101877,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",101.32,"I",2,0.22601,8.8492
"ACCRVHO","00","I930000891","EWWSPKGALL","ALL","                    ","PKG","                    ","WWS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",1.0974,-0.0001,73.9633,13.35027,0,0,0,17.174048,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",74.0538,"E",7.86,1.112477,7.0653
"ACCRVHP","00","I930000891","EWWSDOCALL","ALL","                    ","DOC","                    ","WWS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",1.566,0,51.8332,5.730478,0,0,0,7.215691,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",51.8332,"E",1.666667,0.170827,9.7565
"ACCRVHQ","00","I930000891","IWWSPKGALL","ALL","                    ","PKG","                    ","WWS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.6504,0.0001,104.4763,20.287504,0,0,0,25.33088,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",105.6895,"I",13.030303,1.638917,7.9506
"ACCRVHR","00","I930000891","IWWSDOCALL","ALL","                    ","DOC","                    ","WWS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.917,0,72.9583,7.612443,0,0,0,9.919372,07-OCT-17,24-AUG-47,0.8333,0,,,,,,,,,,,"LB","T",73.525,"I",3.666667,0.522652,7.0155
"ACCRVHS","00","I930000891","EXPRPAKALL","ALL","                    ","PAK","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.9958,0,81.1572,10.378443,0,0,0,12.450798,07-OCT-17,24-AUG-47,0.9559,0,,,,,,,,,,,"LB","T",81.3337,"E",0,0.0042,0
"ACCRVHT","00","I930000891","EWXSPAKALL","ALL","                    ","PAK","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.9226,0,87.3404,12.486308,0,0,0,15.184118,07-OCT-17,24-AUG-47,0.92,0,,,,,,,,,,,"LB","T",87.6604,"E",0,0.0042,0
"ACCRVHU","01","I930000891","NUSLPKGSCR","SCR","                    ","PKG","                    ","USL","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",25.8621,0,7.25,2.544611,0,0,0,2.930964,07-OCT-17,24-AUG-47,0,0,,,,,,,,,,,"OZ","T",7.25,"N",0,0.730865,0
"ACCRVHV","01","I930000891","NUSGPKGSCR","SCR","                    ","PKG","                    ","USG","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",22.2156,0,8.44,4.596276,0,0,0,5.070607,07-OCT-17,24-AUG-47,0,0,,,,,,,,,,,"LB","T",8.44,"N",0,0.739938,0
"ACCRVHW","00","I930000891","EWXPPALALL","ALL","                    ","PAL","                    ","WXP","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.036,0,2253.6,507.21205,0,0,0,625.855751,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",2253.6,"E",0,1.32,0
